,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI)|Portfolio Instrument Accrued|Credit,Portfolio Instrument Accrued,,
Contract Trade Number,,Mod. Following,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),Accounting Leg End Day,,End of Day,,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI),Daily,Reverse and Replace,Accounting Leg Value Day,,Leg,,,,Debit,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI)|Portfolio Instrument Accrued|Debit,Portfolio Instrument Accrued,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_Leg_Daily Interest Accrued_Pay_FCY (NI)|Portfolio Instrument Accrued|Credit,Portfolio Instrument Accrued,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Pay_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Pay_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Debit,CCS/IRS_MF_Pay Date Interest_Pay_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Debit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,CCS/IRS_MF_Pay Date Interest_Pay_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Credit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Rec_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Rec_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,FixedFloat,,Credit,CCS/IRS_MF_Pay Date Interest_Rec_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Credit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,CCS/IRS_MF_Pay Date Interest_Rec_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Debit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Credit,CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,CCS/IRS_MF_Closing Date Accrued Interest_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Closing Date Accrued Interest_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Interest Accrued,,Credit,CCS/IRS_MF_Closing Date Accrued Interest_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Credit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Debit,CCS/IRS_MF_Closing Date Accrued Interest_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Debit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,CCS/IRS_MF_Pay Date Termination Fee_FCY_ACCY,Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Termination Fee_FCY_ACCY,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Termination Fee,,Debit,CCS/IRS_MF_Pay Date Termination Fee_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Debit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,CCS/IRS_MF_Pay Date Termination Fee_FCY_ACCY|PSAK Cash Analysis Projected Acc Curr|Credit,PSAK Cash Analysis Projected Acc Curr,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FRA_TD_Trade Date Commitment,Accounting Trade Time,,End of Day,,FRA_TD_Trade Date Commitment,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FRA_TD_Trade Date Commitment|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,FRA_TD_Trade Date Commitment|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Contract Trade Number,,Mod. Following,FRA_TD_Maturity Date Commitment,Accounting Instrument Expiry Date,,End of Day,,FRA_TD_Maturity Date Commitment,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Debit,FRA_TD_Maturity Date Commitment|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,FRA_TD_Maturity Date Commitment|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Contract Trade Number,,Mod. Following,FRA_TD_Daily Mark to Market,Accounting Instrument Expiry Date,,End of Day,,FRA_TD_Daily Mark to Market,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FRA_TD_Daily Mark to Market|Portfolio Value IDR|Debit,Portfolio Value IDR,,
,,,,,,,,,,,,,,,,,Credit,FRA_TD_Daily Mark to Market|Portfolio Value IDR|Credit,Portfolio Value IDR,,
Trade,,Mod. Following,FRA_MF_Pay Date Gain/Loss,Accounting Moneyflow Pay Day,,End of Day,,FRA_MF_Pay Date Gain/Loss,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FRA_MF_Pay Date Gain/Loss|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FRA_MF_Pay Date Gain/Loss|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FRA_MF_Pay Date Gain/Loss_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,FRA_MF_Pay Date Gain/Loss_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Float Rate,,Debit,FRA_MF_Pay Date Gain/Loss_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,FRA_MF_Pay Date Gain/Loss_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,FRA_MF_Pay Date Gain/Loss_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,FRA_MF_Pay Date Gain/Loss_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Debit,FRA_MF_Pay Date Gain/Loss_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FRA_MF_Pay Date Gain/Loss_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,DepoLoan Discounted_MF_Maturity Date,Accounting Instrument Expiry Date,,End of Day,,DepoLoan Discounted_MF_Maturity Date,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,SendToEMAS,Yes,,Debit,DepoLoan Discounted_MF_Maturity Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,DepoLoan Discounted_MF_Maturity Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Fund_MF_Pay Date Aggregated Dividends,Accounting Moneyflow Pay Day,,End of Day,,Fund_MF_Pay Date Aggregated Dividends,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Fund_MF_Pay Date Aggregated Dividends|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Fund_MF_Pay Date Aggregated Dividends_FCY (NI),Accounting Moneyflow Pay Day,,End of Day,,Fund_MF_Pay Date Aggregated Dividends_FCY (NI),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,,,,Credit,Fund_MF_Pay Date Aggregated Dividends_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,Fund_MF_Pay Date Aggregated Dividends_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,Fund_MF_Pay Date Aggregated Dividends_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,Fund_MF_Pay Date Aggregated Dividends_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,Aggregated Dividends,,Debit,Fund_MF_Pay Date Aggregated Dividends_FCY_IDR|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,Fund_MF_Pay Date Aggregated Dividends_FCY_IDR|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,Bond Option_TD_Daily MtM,Accounting Expiry Day-1 Business Day,,End of Day,,Bond Option_TD_Daily MtM,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,Bond Option_TD_Daily MtM|Portfolio Theoretical Value IDR|Debit,Portfolio Theoretical Value IDR,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_TD_Daily MtM|Portfolio Theoretical Value IDR|Credit,Portfolio Theoretical Value IDR,,
Trade,,Mod. Following,Bond Option_MF_Premium Pay Date,Accounting Moneyflow Pay Day,,End of Day,,Bond Option_MF_Premium Pay Date,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,Bond Option_MF_Premium Pay Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_MF_Premium Pay Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Bond Option_MF_Premium Trade Date,Accounting Moneyflow Trade Time,,End of Day,,Bond Option_MF_Premium Trade Date,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Debit,Bond Option_MF_Premium Trade Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Bond Option_MF_Premium Trade Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Option MF_Expiry Date Premium Reclass,Accounting Instrument Expiry Date,,End of Day,,Option MF_Expiry Date Premium Reclass,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,SendToEMAS,Yes,,Debit,Option MF_Expiry Date Premium Reclass|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Option MF_Expiry Date Premium Reclass|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Option MF_Expiry Date Premium Reclass_FCY (NI),Accounting Instrument Expiry Date,,End of Day,,Option MF_Expiry Date Premium Reclass_FCY (NI),Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,,,,Debit,Option MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,Option MF_Expiry Date Premium Reclass_FCY (NI)|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,Option MF_Expiry Date Premium Reclass_FCY_ACCY,Accounting Instrument Expiry Date,,End of Day,,Option MF_Expiry Date Premium Reclass_FCY_ACCY,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Money Flow,FxRevalAICatFeeType,Payment Premium,,Debit,Option MF_Expiry Date Premium Reclass_FCY_ACCY|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,FxRevalAICat,MoneyFlow,,Credit,Option MF_Expiry Date Premium Reclass_FCY_ACCY|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,SendToEMAS,Yes,,,,,,
Trade,,Mod. Following,FX Option_MF_Premium Value Date,Accounting Moneyflow Pay Day,,End of Day,,FX Option_MF_Premium Value Date,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX Option_MF_Premium Value Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,FX Option_MF_Premium Value Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,FX Option_MF_Premium Trade Date,Accounting Moneyflow Trade Time,,End of Day,,FX Option_MF_Premium Trade Date,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Credit,FX Option_MF_Premium Trade Date|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,FX Option_MF_Premium Trade Date|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Trade,,Mod. Following,FX Option_TD_Exercise/Closing Date OffBalance Principal,Accounting Trade Time,,End of Day,,FX Option_TD_Exercise/Closing Date OffBalance Principal,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,FX Option_TD_Exercise/Closing Date OffBalance Principal|Nominal Amount FXO Call|Debit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Exercise/Closing Date OffBalance Principal|Nominal Amount FXO Call|Credit,Nominal Amount FXO Call,,
,,,,,,,,,,,,,,,,,Debit,FX Option_TD_Exercise/Closing Date OffBalance Principal|Nominal Amount FXO Put|Debit,Nominal Amount FXO Put,,
,,,,,,,,,,,,,,,,,Credit,FX Option_TD_Exercise/Closing Date OffBalance Principal|Nominal Amount FXO Put|Credit,Nominal Amount FXO Put,,
Trade,,Mod. Following,BN_TD_Trade Date Nominal OffBalance,Accounting Trade Time,,End of Day,,BN_TD_Trade Date Nominal OffBalance,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,BN_TD_Trade Date Nominal OffBalance|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,BN_TD_Trade Date Nominal OffBalance|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Trade,,Mod. Following,BN_TD_Trade Date Premium OffBalance,Accounting Trade Time,,End of Day,,BN_TD_Trade Date Premium OffBalance,Daily,Reverse and Replace,Accounting Trade Time,,Trade,SendToEMAS,Yes,,Debit,BN_TD_Trade Date Premium OffBalance|Trade Premium Dv|Debit,Trade Premium Dv,,
,,,,,,,,,,,,,,,,,Credit,BN_TD_Trade Date Premium OffBalance|Trade Premium Dv|Credit,Trade Premium Dv,,
Trade,,Mod. Following,BN_MF_Value Date Premium,Accounting Moneyflow Pay Day,,End of Day,,BN_MF_Value Date Premium,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,BN_MF_Value Date Premium|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,BN_MF_Value Date Premium|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,BN_MF_Value Date Premium PnL,Accounting Moneyflow Pay Day,,End of Day,,BN_MF_Value Date Premium PnL,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,BN_MF_Value Date Premium PnL|PSAK Cash Analysis Projected IDR|Debit,PSAK Cash Analysis Projected IDR,,
,,,,,,,,,,,,,,,,,Credit,BN_MF_Value Date Premium PnL|PSAK Cash Analysis Projected IDR|Credit,PSAK Cash Analysis Projected IDR,,
Trade,,Mod. Following,BN_MF_Value Date Suspense,Accounting Moneyflow Pay Day,,End of Day,,BN_MF_Value Date Suspense,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,BN_MF_Value Date Suspense|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,BN_MF_Value Date Suspense|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,BN_TD_Value Date Nominal OffBalance,Accounting Value Day,,End of Day,,BN_TD_Value Date Nominal OffBalance,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,BN_TD_Value Date Nominal OffBalance|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,BN_TD_Value Date Nominal OffBalance|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Trade,,Mod. Following,BN_TD_Value Date Premium OffBalance,Accounting Value Day,,End of Day,,BN_TD_Value Date Premium OffBalance,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,BN_TD_Value Date Premium OffBalance|Trade Premium Dv|Debit,Trade Premium Dv,,
,,,,,,,,,,,,,,,,,Credit,BN_TD_Value Date Premium OffBalance|Trade Premium Dv|Credit,Trade Premium Dv,,
Trade,,Mod. Following,BN_TD_Value Date Nominal,Accounting Value Day,,End of Day,,BN_TD_Value Date Nominal,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Debit,BN_TD_Value Date Nominal|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Credit,BN_TD_Value Date Nominal|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
Trade,,Mod. Following,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) Issuance,Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) Issuance,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) Issuance|Cash Analysis Projected|Debit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Credit,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) Issuance|Cash Analysis Projected|Credit,Cash Analysis Projected,,
Trade,,Mod. Following,BN_TD_Value Date Nominal PnL,Accounting Value Day,,End of Day,,BN_TD_Value Date Nominal PnL,Daily,Reverse and Replace,Accounting Value Day,,Trade,SendToEMAS,Yes,,Credit,BN_TD_Value Date Nominal PnL|PSAK Nominal Amt IDR|Credit,PSAK Nominal Amt IDR,,
,,,,,,,,,,,,,,,,,Debit,BN_TD_Value Date Nominal PnL|PSAK Nominal Amt IDR|Debit,PSAK Nominal Amt IDR,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily Interest Income (RTM),Repo Reclass Accounting Date Today,,End of Day,Yes,BondRepoCollateral_TD_Daily Interest Income (RTM),Daily,Reverse and Replace,Repo Reclass Accounting Date Today,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily Interest Income (RTM)|Repo Reclass Accrued Acc Curr RTM|Debit,Repo Reclass Accrued Acc Curr RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily Interest Income (RTM)|Repo Reclass Accrued Acc Curr RTM|Credit,Repo Reclass Accrued Acc Curr RTM,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily Amortization Income (RTM),Repo Reclass Accounting Date Today,,End of Day,Yes,BondRepoCollateral_TD_Daily Amortization Income (RTM),Daily,Reverse and Replace,Repo Reclass Accounting Date Today,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily Amortization Income (RTM)|Repo Reclass Depreciation Acc Curr RTM|Debit,Repo Reclass Depreciation Acc Curr RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily Amortization Income (RTM)|Repo Reclass Depreciation Acc Curr RTM|Credit,Repo Reclass Depreciation Acc Curr RTM,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily MTM (NR),Accounting Instrument Expiry Date,,End of Day,,BondRepoCollateral_TD_Daily MTM (NR),Daily,Reverse and Replace,Accounting Instrument Start Date,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily MTM (NR)|Repo Reclass MtM Normal|Debit,Repo Reclass MtM Normal,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily MTM (NR)|Repo Reclass MtM Normal|Credit,Repo Reclass MtM Normal,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily MTM (RTM),Accounting Instrument Expiry Date,,End of Day,,BondRepoCollateral_TD_Daily MTM (RTM),Daily,Reverse and Replace,Accounting Instrument Start Date,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily MTM (RTM)|Repo Reclass MtM RTM|Debit,Repo Reclass MtM RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily MTM (RTM)|Repo Reclass MtM RTM|Credit,Repo Reclass MtM RTM,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily Carrying Amount (RTM),Accounting Instrument Expiry Date,,End of Day,,BondRepoCollateral_TD_Daily Carrying Amount (RTM),Daily,Reverse and Replace,Accounting Instrument Start Date,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily Carrying Amount (RTM)|Repo Reclass Carrying Amount RTM|Debit,Repo Reclass Carrying Amount RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily Carrying Amount (RTM)|Repo Reclass Carrying Amount RTM|Credit,Repo Reclass Carrying Amount RTM,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily Carrying Amount (NR),Accounting Instrument Expiry Date,,End of Day,,BondRepoCollateral_TD_Daily Carrying Amount (NR),Daily,Reverse and Replace,Accounting Instrument Start Date,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily Carrying Amount (NR)|Repo Reclass Carrying Amount Normal|Debit,Repo Reclass Carrying Amount Normal,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily Carrying Amount (NR)|Repo Reclass Carrying Amount Normal|Credit,Repo Reclass Carrying Amount Normal,,
Instrument and Portfolio,,Mod. Following,BondRepoCollateral_TD_Daily Interest Accrued (RTM),Repo Reclass Accounting Date Today,,End of Day,Yes,BondRepoCollateral_TD_Daily Interest Accrued (RTM),Daily,Reverse and Replace,Repo Reclass Accounting Date Today,,Trade,SendToEMAS,Yes,,Debit,BondRepoCollateral_TD_Daily Interest Accrued (RTM)|Repo Reclass Accrued RTM|Debit,Repo Reclass Accrued RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_TD_Daily Interest Accrued (RTM)|Repo Reclass Accrued RTM|Credit,Repo Reclass Accrued RTM,,
Trade,,Mod. Following,FX_MF_Pay Date FX Position Reval Acc Curr,Accounting Moneyflow Pay Day,,End of Day,,FX_MF_Pay Date FX Position Reval Acc Curr,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX_MF_Pay Date FX Position Reval Acc Curr|PSAK FX Revaluation Amt Acc Curr|Debit,PSAK FX Revaluation Amt Acc Curr,,
,,,,,,,,,,,,,,,,,Credit,FX_MF_Pay Date FX Position Reval Acc Curr|PSAK FX Revaluation Amt Acc Curr|Credit,PSAK FX Revaluation Amt Acc Curr,,
Trade,,Mod. Following,FX_MF_Pay Date FX Position Strong Currency Acc Curr,Accounting Moneyflow Pay Day,,End of Day,,FX_MF_Pay Date FX Position Strong Currency Acc Curr,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,FX_MF_Pay Date FX Position Strong Currency Acc Curr|PSAK Nominal Amt Currency One Acc Curr|Debit,PSAK Nominal Amt Currency One Acc Curr,,
,,,,,,,,,,,,,,,,,Credit,FX_MF_Pay Date FX Position Strong Currency Acc Curr|PSAK Nominal Amt Currency One Acc Curr|Credit,PSAK Nominal Amt Currency One Acc Curr,,
Contract Trdnbr and Moneyflow,,Mod. Following,BondRepoCollateral_MF_Coupon payment (RTM),Accounting Moneyflow Pay Day,,End of Day,,BondRepoCollateral_MF_Coupon payment (RTM),Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,SendToEMAS,Yes,,Debit,BondRepoCollateral_MF_Coupon payment (RTM)|Repo Reclass Coupon Amount RTM|Debit,Repo Reclass Coupon Amount RTM,,
,,,,,,,,,,,,,,,,,Credit,BondRepoCollateral_MF_Coupon payment (RTM)|Repo Reclass Coupon Amount RTM|Credit,Repo Reclass Coupon Amount RTM,,
Moneyflow,,Mod. Following,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR,Accounting Moneyflow Pay Day,,End of Day,,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR,Daily,Reverse and Replace,Accounting Moneyflow Pay Day,,Money Flow,FxRevalAICatFeeType,WHT,,Debit,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Debit,Cash Analysis Projected,,
